metricas usando primero gemini 2.0 flash 001,,,,,,,,,,,
pregunta,correctness,helpfulness,similarity,promt tokens,completitionTokens,totalTokens,executiontime,,,,
¿Qué es la Tarjeta de Control de Tránsito (TCT) y por qué es obligatoria para ingresar a Galápagos?,5,2,"0,3349753695",2674,900,3574,"14,016",,"""correcta"": true, ""La respuesta está respaldada por el fragmento que indica que es obligación de toda persona que ingrese a Galápagos como turista o transeúnte obtener la tarjeta de control de tránsito.""",,La Tarjeta de Control de Tránsito (TCT) es un documento obligatorio para todos los turistas o transeúntes que ingresen a la provincia de Galápagos.
dime que documentos se necesitan para la estadia en las islas galapagos?,5,2,"0,2409638554",2698,1433,4131,"26,232",,"""correcta"": true, ""La respuesta está respaldada por los fragmentos proporcionados, que enumeran los requisitos para la estadía en las Islas Galápagos, incluyendo pasaje de ida y vuelta, seguro de salud, reserva de alojamiento o carta de invitación.""",,"Para la estadía en las Islas Galápagos, necesitarás: pasaje de ida y vuelta, seguro de salud privado, reserva en un alojamiento turístico autorizado o una carta de invitación de un residente permanente o temporal en Galápagos.
"
,,,,,,,,,,,
promedio,"3,684210526","2,631578947","0,3900946486",,,,"17,410",,,,
,"1,376494403","0,8950807733","0,1576683517",,,,"3,596343326",,,,
,1,1,"0,2028469751",,,,"14,016",,,,
,5,4,"0,70703125",,,,"26,746",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
metricas usando primero gpt 5 nano,,,,,,,,,,,
pregunta,correctness,helpfulness,similarity,promt tokens,completitionTokens,totalTokens,executiontime,,,,
¿Qué trámite debo realizar antes de ingresar a las Islas Galápagos si voy a trabajar?,3,4,"0,2984189723",4674,1188,5862,"16,47",,"""correcta"": true, ""Explicación breve basada en fragmentos."": El fragmento indica que para ingresar a la Agencia de Regulación y Control de la Bioseguridad y Cuarentena para Galápagos, los aspirantes deben presentar su residencia temporal auspiciada por la autoridad nominadora y legalizada en el Consejo de Gobierno de Régimen Especial para Galápagos, que es el trámite citado.",,"Para trabajar en las Galápagos, estos son los trámites y requisitos básicos previos al ingreso:

- Presentar residencia temporal auspiciada por la autoridad nominadora y debidamente legalizada en el Consejo de Gobierno de Régimen Especial para Galápagos.
- Para ingresar a la Agencia de Regulación y Control de Bioseguridad y Cuarentena para Galápagos, cumplir:
  - Hoja de vida actualizada en la red de empleo (con fundamentos). 

Estos requisitos aplican para aspirantes a ocupar un puesto institucional."
¿Qué es una residencia temporal en Galápagos y cómo se diferencia de otras categorías migratorias dentro del archipiélago?,2,3,"0,2851919561",4598,1623,6221,"31,731",,,"""correcta"": false, ""Explicación breve basada en fragmentos."" Los fragmentos describen qué implica la residencia temporal (actividades, periodo y patrocinio) y aspectos administrativos, pero no explican ni comparan con otras categorías migratorias dentro del archipiélago.","La residencia temporal en Galápagos es una autorización administrativa que permite a una persona residir en la provincia por un periodo determinado y realizar las actividades descritas en la resolución. En la documentación se indica el periodo autorizado y se identifica al residente permanente que auspicia su ingreso. Las autorizaciones son numeradas y registradas en una base.

Diferencias con otras categorías migratorias:
- Residencia permanente: estatus de residencia prolongado o indefinido; no está limitado a un periodo específico y suele"
¿Cuántas veces puedo cambiar de auspiciante mientras tengo residencia temporal en Galápagos?,5,4,"0,2754237288",2638,979,3617,"15,532",,,"""correcta"": false, ""Explicación breve basada en fragmentos."" No hay ningún fragmento que indique un número específico de veces que se puede cambiar de auspiciante durante la residencia temporal en Galápagos; los fragmentos mencionan cambios de auspiciante y condiciones generales, pero no un límite.","No puedo encontrar la respuesta exacta en los recursos disponibles sobre las Islas Galápagos. 

Los materiales disponibles mencionan que cambiar de auspiciante requiere la autorización de la Secretaría Técnica del Consejo de Gobierno del Régimen Especial de Galápagos y no especifican un límite de cuántas veces se puede hacer este cambio. Te sugiero consultar directamente con el Ministerio de Trabajo o la Secretaría Técnica para obtener la cifra o criterio actualizado."
"Si he trabajado por 5 años consecutivos como residente temporal en Galápagos, ¿puedo ser contratado nuevamente bajo la misma categoría?",1,5,"0,314861461",4583,1295,5878,"16,294",,,"""correcta"": false, ""Explicación breve basada en fragmentos."" Los fragmentos establecen un tope de cinco años de residencia y que, cumplidos, se debe abandonar la provincia; no mencionan si se puede ser contratado nuevamente en la misma categoría.","No. La residencia temporal en Galápagos no puede durar más de cinco años, contados de forma continuada o interrumpida, y una vez cumplidos esos cinco años se debe abandonar la provincia. Por tanto, no se puede ser contratado nuevamente en la misma categoría dentro de Galápagos bajo esa condición. Si regresa más tarde, podría hacerlo bajo una situación distinta y conforme a la normativa vigente."
¿Los hijos mayores de edad de residentes temporales en Galápagos pueden obtener una residencia temporal por vínculo familiar?,5,5,"0,3154875717",6329,1339,7668,"17,085",,,"""correcta"": false, ""Explicación breve basada en fragmentos."" Los fragmentos hablan únicamente de la residencia permanente para hijos mayores de edad vinculados a las islas, no mencionan ni respaldan una residencia temporal por vínculo familiar. Por lo tanto la respuesta no está respaldada y contradice la información disponible.","Según la información disponible, la vía por “vínculo familiar” para hijos mayores de edad está definida para obtener residencia permanente (Disposición Transitoria Octava de la LOREG). No se describe un camino equivalente para residencia temporal por vínculo familiar para hijos adultos. Por lo tanto, no sería aplicable esa vía para residencia temporal; la ruta relevante sería la residencia permanente. Si necesitas, puedo intentar localizar instrucciones específicas sobre la residencia temporal por vínculos familiares."
¿Cuántas veces se puede solicitar la prórroga de la categoría de transeúnte para permanecer más tiempo en Galápagos?,4,5,"0,2080745342",4743,1418,6161,"15,983",,,"""correcta"": false, ""Explicación breve basada en fragmentos."": La fuente (Art. 27) indica que la prórroga es de un periodo adicional similar improrrogable, y que este plazo no puede exceder los noventa días. No se menciona más de una prórroga, por lo que una respuesta que sugiera múltiples prórrogas no estaría respaldada.","Puede solicitarse una única prórroga adicional similar improrrogable, por un periodo igual a los 90 días iniciales, sin exceder un total de 90 días. Debe ser aprobada por el Comité de Calificación y Control de Residencia del Consejo del INGALA y se debe indicar el lugar de residencia durante la prórroga."
¿Cuáles son los requisitos para solicitar la revocatoria de una residencia temporal otorgada por contrato de trabajo en Galápagos?,1,1,"0,2960413081",4685,1082,5767,"13,176",,,"""correcta"": false, ""Explicación breve basada en fragmentos."" Los fragmentos describen requisitos y procedimientos para otorgar la residencia temporal (p. ej., que el auspiciante justifique la insuficiencia de profesionales mediante un concurso), no los requisitos para solicitar la revocatoria de una residencia ya otorgada. No hay fragmento que aborde la revocación o sus requisitos.","No puedo encontrar la respuesta exacta sobre los “requisitos para solicitar la revocatoria” de una residencia temporal por contrato de trabajo en los recursos disponibles.

Lo que sí se menciona es:
- La relación de trabajo y la calificación de residencia temporal no pueden durar más de cinco años, ya sea de forma continuada o interrumpida.
- Una vez cumplidos cinco años de residencia temporal en Galápagos, se debe abandonar la provincia.

Si necesitas, puedo intentar buscar más detalles sobre el procedimiento específico de revocatoria si hay fuentes adicionales disponibles."
¿Qué es la credencial de residencia para las Islas Galápagos y qué beneficios otorga?,5,4,"0,3661971831",4787,1119,5906,"16,026",,"""correcta"": true, ""Explicación breve basada en fragmentos."" La credencial de residencia es un documento adicional a la cédula de identidad para Galápagos, que puede ser de residencia permanente o temporal, y tiene validez jurídica para todos los actos públicos y privados. Está conferida por la Secretaría Técnica del Consejo de Gobierno y se le asigna un número único. Esto se apoya en los fragmentos que mencionan: credencial de residencia permanente o temporal, carácter de documento adicional a la cédula de identidad, validez para actos públicos y privados, y atribución a la Secretaría Técnica del Consejo de Gobierno para Galápagos.",,"La credencial de residencia en Galápagos es un documento adicional a la cédula de identidad, otorgado por la Secretaría Técnica del Consejo de Gobierno, para residencia permanente o temporal en la provincia de Galápagos. Tiene validez jurídica para todos los actos públicos y privados en la provincia, y cuenta con un número único asignado. En resumen, facilita ser reconocido como residente galapagueño ante autoridades y trámites, tanto públicos como privados."
¿Por qué es obligatorio portar la credencial de residencia (temporal o permanente) mientras permanezco en Galápagos?,1,3,"0,3615702479",4757,1307,6064,"14,569",,,"""correcta"": false, ""Explicación breve basada en fragmentos."" 
Los fragmentos indican que la credencial de residencia es “Documento adicional a la cédula de identidad” con validez jurídica para todos los actos públicos y privados (Fragmento 1), pero no dicen explícitamente que exista una obligación de portarla durante la estadía en Galápagos. Por tanto, la afirmación de obligatoriedad no está directamente respaldada.","Es obligatorio portar la credencial de residencia porque, en Galápagos, esa credencial funciona como documento adicional a la cédula de identidad. Fue creada por la Secretaría Técnica del Consejo de Gobierno y tiene validez jurídica para todos los actos públicos y privados dentro de la provincia, además de contar con un número único asignado. Por ello, se exige su uso para acreditar residencia temporal o permanente en Galápagos durante trámites y actividades oficiales y privadas."
¿Es obligatorio obtener la credencial de residencia para vivir o trabajar en Galápagos por más de 60 días?,1,5,"0,2890995261",4866,1336,6202,"15,968",,,"""correcta"": false, ""Explicación breve basada en fragmentos."" Los fragmentos mencionan que la credencial tiene validez de cinco años para residentes permanentes y que su presentación es obligatoria antes de otorgar derechos, pero no dicen expresamente que sea obligatoria para vivir o trabajar en Galápagos por más de 60 días ni que existan requisitos específicos para ese periodo. No hay respaldo directo a la afirmación de obligatoriedad en ese caso concreto.","Sí. Para vivir o trabajar en Galápagos más allá de una estancia corta, es necesario obtener la credencial de residencia, ya que su presentación es obligatoria previo al otorgamiento de derechos señalados en la Ley Orgánica de Régimen Especial para la Conservación y Desarrollo Sustentable de la Provincia de Galápagos.

Detalles clave:
- Validez: 5 años para los residentes permanentes.
- Trámite de reposición: aplica si caduca o está deteriorada.

Si la pregunta se refiere a ser visitante por más de 60 días, la credencial de residencia no suele ser requerida para simples visitas; es para residentes con derechos en la provincia."
¿Qué requisitos debo cumplir para obtener la credencial de residencia temporal en Galápagos por primera vez?,5,3,"0,3556547619",4792,1723,6515,"16,259",,"""correcta"": true, ""Explicación breve basada en fragmentos."": Los fragmentos 0, 1 y 2 indican como requisito para ingresar a la Agencia de Regulación y Control de la Bioseguridad y Cuarentena para Galápagos presentar una hoja de vida y, además, presentar la residencia temporal auspiciada por la autoridad nominadora debidamente legalizada en el Consejo de Gobierno de Régimen Especial para Galápagos, lo cual respalda la respuesta.",,"Requisitos (según la información disponible):

- Residencia temporal auspiciada por la autoridad nominadora y debidamente legalizada en el Consejo de Gobierno de Régimen Especial para Galápagos.
- Cumplimiento del Art. 12 para el ingreso a la Agencia de Regulación y Control de Bioseguridad y Cuarentena para Galápagos (ARCBQG).
- Hoja de vida actualizada en la red “socio empleo” debidamente fundamentada.

Nota: la información disponible es limitada y se enfoca en el ingreso a la ARCBQG; si buscas otra credencial específica de residencia temporal, podría requerirse consultar directamente las normas vigentes del Consejo de Gobierno de Régimen Especial para Galápagos."
¿Qué documentos debo presentar para renovar o reemplazar mi credencial de residencia en caso de pérdida o deterioro en las islas galapagos?,1,3,"0,3194444444",4654,917,5571,"13,996",,,"""false"", ""Los fragmentos solo indican que la credencial se canjea por una nueva a petición del interesado y que en caso de pérdida se debe adjuntar la denuncia; no se listan los documentos específicos requeridos para la renovación/reemplazo.""","- Presentar una solicitud expresa del interesado para la reposición (renovación/canje por caducidad, deterioro o pérdida).
- En caso de pérdida, adjuntar la denuncia ante la autoridad competente.
- Renovación/reposición conlleva costos asociados (informar sobre el monto correspondiente)."
¿Cuál es el tiempo máximo de duración de una residencia temporal en Galápagos?,2,5,"0,2883435583",4521,1318,5839,"16,328",,"""correcta"": true, ""Explicación breve basada en fragmentos."": Los fragmentos 1-4 afirman que la residencia temporal no puede durar más de cinco años (contados de forma continuada o interrumpida) y que, cumplidos cinco años, se debe abandonar la provincia de Galápagos.",,"El tiempo máximo es de cinco años, contados de forma continuada o interrumpida. Una vez cumplidos cinco años de residencia temporal en Galápagos, se debe abandonar la provincia. Esta limitación se enmarca en las restricciones constitucionales al derecho al trabajo en la provincia y lo dispuesto en el artículo 46 de la LOREG."
¿Cuáles son los requisitos para cambiar de categoría migratoria de residente temporal a turista dentro de Galápagos?,5,5,"0,46812749",4728,900,5628,"14,791",,"""correcta"": true, ""Explicación breve basada en fragmentos."": El fragmento del Art. 43 indica que quien termine su periodo como residente temporal y solicite permanecer como turista debe cumplir las exigencias de ingreso de turistas, incluyendo el pago de la tarjeta de control de tránsito y la tasa por ingreso y conservación de las áreas naturales protegidas de Galápagos. Esta es la base directa para la respuesta.",,"Según el Art. 43, para que una persona que terminó su periodo como residente temporal pueda permanecer como turista en Galápagos debe cumplir las exigencias para el ingreso de turistas, entre ellas:
- Pago de la tarjeta de control de tránsito.
- Pago de la tasa por ingreso y conservación de las áreas naturales protegidas de Galápagos.

El Art. 44 complementa la definición de turista (persona que ingresa a la provincia). Si necesitas, puedo detallar dónde realizar estos pagos o los montos actuales."
¿Cuál es el tiempo máximo permitido para permanecer como voluntario en Galápagos y qué requisitos se exigen?,1,3,"0,2651515152",4666,1234,5900,"15,83",,,"Necesito la respuesta del sistema (Respuesta del sistema) para evaluar su corrección frente a los fragmentos recuperados. Con los fragmentos proporcionados no es posible determinar si la respuesta está respaldada o contradicha. Por favor proporciona la ""Respuesta del sistema"".","La duración máxima es el periodo para el cual fue autorizado por la Secretaría Técnica del Consejo de Gobierno del Régimen Especial de Galápagos. Una vez cumplido ese periodo, el voluntario no debe permanecer en la provincia más allá de 48 horas, y si recibe una boleta de salida debe abandonar la provincia en otras 48 horas. Requisitos relevantes: contar con la autorización previa de ese Consejo para el periodo de voluntariado y cumplir la obligación de salir dentro del plazo establecido (48 horas) al finalizar el periodo."
¿Por cuánto tiempo puedo permanecer en Galápagos si vengo con un permiso temporal por razones científicas?,4,5,"0,2460063898",4542,1042,5584,"15,539",,"""correcta"": true, ""Explicación breve basada en fragmentos."" Los fragmentos 0, 1 y 2 indican que, para científicos que ingresen para desarrollar programas de investigación, la residencia temporal es hasta un máximo de dos años, renovable por una sola ocasión por el mismo lapso, conforme al plan de investigación.",,"Según el Art. 35, los científicos que ingresen por motivos de investigación pueden permanecer como residentes temporales hasta por un máximo de 2 años, renovable una sola vez por el mismo lapso, conforme al plan de investigación y para instituciones públicas o privadas sin fines de lucro debidamente registradas."
¿Qué es la Declaración Juramentada de Bioseguridad (Galapagos Biosafety Affidavit) y dónde la presento?,1,5,"0,2767295597",6686,1258,7944,"18,174",,,"""correcta"": false, ""Explicación breve basada en fragmentos."": - Los fragmentos describen que ABG regula la bioseguridad en Galápagos, pero no definen qué es la Declaración Juramentada de Bioseguridad ni dónde presentarla. - No se indica la existencia, el contenido ni el lugar de presentación de dicha declaración en los fragmentos. - Por lo tanto, la respuesta no está respaldada por los fragmentos.","Es una declaración jurada relacionada con las medidas de bioseguridad y cuarentena para Galápagos, requeridas para regular la introducción, movimiento y dispersión de organismos exóticos y para proteger la salud y el ecosistema. Debe presentarse ante la Control de la Bioseguridad y Cuarentena para Galápagos (ABG), la entidad adscrita a la Autoridad Ambiental Nacional, con sede en Santa Cruz, Galápagos. Si necesitas, puedo buscar los requisitos exactos y el formato vigente."
¿Qué es la Tarjeta de Control de Tránsito (TCT) y por qué es obligatoria para ingresar a Galápagos?,5,3,"0,2183098592",4553,1191,5744,"16,596",,,"""correcta"": false, ""Explicación breve basada en fragmentos."" No se proporcionó una respuesta del sistema para evaluar. Los fragmentos indican la obligación de obtener la TCT al ingresar a Galápagos y que su valor lo determina un pleno, pero no respaldan una respuesta específica dada.",La Tarjeta de Control de Tránsito (TCT) es un documento obligatorio para toda persona que ingrese a la provincia de Galápagos en calidad de turista o transeúnte. Su valor es determinado por el Pleno del Consejo de Gobierno del Régimen Especial de Galápagos. (Art. 94 y Art. 95)
dime que documentos se necesitan para la estadia en las islas galapagos?,5,5,"0,3503480278",4596,1200,5796,"16,591",,"""correcta"": true, ""Explicación breve basada en fragmentos: Los fragmentos mencionan claramente los documentos necesarios: pasaje de ida y vuelta, seguro de salud privado, reserva de alojamientos turísticos y carta de invitación suscrita por un residente en Galápagos.""",,"Según la información disponible, se requieren los siguientes documentos para la estadía en Galápagos:

- Pasaje de ida y vuelta por cualquier vía.
- Seguro de salud privado.
- Reserva en uno o más alojamientos turísticos legalmente autorizados para pernoctar.
- Carta de invitación suscrita por un residente permanente o temporal en la provincia de Galápagos (formato establecido por la Secretaría Técnica del Consejo de Gobierno)."
